"alert__week","alert__year","alert__count","confidence__cat"
43,2015,7,"l"
43,2015,238,"n"
43,2015,5,"h"
42,2015,4,"l"
42,2015,3,"h"
42,2015,254,"n"
41,2015,363,"n"
41,2015,6,"l"
41,2015,6,"h"
40,2015,19,"h"
40,2015,174,"n"
40,2015,6,"l"
39,2015,16,"l"
39,2015,325,"n"
39,2015,22,"h"
38,2015,484,"n"
38,2015,16,"h"
38,2015,17,"l"
37,2015,18,"h"
37,2015,380,"n"
37,2015,3,"l"
36,2015,617,"n"
36,2015,9,"l"
36,2015,18,"h"
35,2015,23,"l"
35,2015,513,"n"
35,2015,9,"h"
34,2015,22,"l"
34,2015,641,"n"
34,2015,18,"h"
33,2015,15,"l"
33,2015,23,"h"
33,2015,482,"n"
32,2015,3,"l"
32,2015,2,"h"
32,2015,177,"n"
31,2015,824,"n"
31,2015,9,"l"
31,2015,28,"h"
30,2015,32,"l"
30,2015,976,"n"
30,2015,30,"h"
29,2015,11,"h"
29,2015,585,"n"
29,2015,7,"l"
28,2015,26,"l"
28,2015,749,"n"
28,2015,8,"h"
27,2015,26,"l"
27,2015,29,"h"
27,2015,734,"n"
26,2015,768,"n"
26,2015,28,"h"
26,2015,19,"l"
25,2015,110,"n"
25,2015,1,"h"
24,2015,189,"n"
24,2015,3,"l"
23,2015,22,"h"
23,2015,778,"n"
23,2015,17,"l"
22,2015,629,"n"
22,2015,12,"h"
22,2015,16,"l"
21,2015,316,"n"
21,2015,2,"h"
21,2015,12,"l"
20,2015,596,"n"
20,2015,16,"h"
20,2015,12,"l"
19,2015,9,"l"
19,2015,502,"n"
19,2015,9,"h"
18,2015,249,"n"
18,2015,4,"l"
18,2015,6,"h"
17,2015,30,"l"
17,2015,6,"h"
17,2015,539,"n"
16,2015,68,"l"
16,2015,42,"h"
16,2015,1185,"n"
15,2015,44,"h"
15,2015,35,"l"
15,2015,896,"n"
14,2015,29,"l"
14,2015,433,"n"
14,2015,7,"h"
13,2015,36,"h"
13,2015,41,"l"
13,2015,815,"n"
12,2015,79,"l"
12,2015,37,"h"
12,2015,1140,"n"
11,2015,68,"l"
11,2015,968,"n"
11,2015,42,"h"
10,2015,673,"n"
10,2015,30,"l"
10,2015,26,"h"
9,2015,38,"l"
9,2015,620,"n"
9,2015,16,"h"
8,2015,47,"l"
8,2015,3,"h"
8,2015,368,"n"
7,2015,46,"l"
7,2015,7,"h"
7,2015,655,"n"
6,2015,6,"h"
6,2015,1,"l"
6,2015,224,"n"
5,2015,7,"l"
5,2015,5,"h"
5,2015,250,"n"
4,2015,156,"n"
4,2015,1,"l"
4,2015,2,"h"
3,2015,9,"l"
3,2015,140,"n"
3,2015,2,"h"
2,2015,2,"h"
2,2015,35,"n"
1,2015,18,"n"
52,2014,26,"n"
51,2014,64,"n"
51,2014,5,"l"
50,2014,11,"h"
50,2014,5,"l"
50,2014,308,"n"
49,2014,1,"l"
49,2014,77,"n"
48,2014,72,"n"
47,2014,1,"l"
47,2014,89,"n"
47,2014,1,"h"
46,2014,3,"l"
46,2014,79,"n"
45,2014,2,"l"
45,2014,103,"n"
44,2014,3,"h"
44,2014,196,"n"
44,2014,7,"l"
43,2014,3,"h"
43,2014,11,"l"
43,2014,228,"n"
42,2014,281,"n"
42,2014,9,"l"
42,2014,1,"h"
41,2014,3,"l"
41,2014,111,"n"
40,2014,5,"h"
40,2014,307,"n"
40,2014,5,"l"
39,2014,20,"h"
39,2014,10,"l"
39,2014,460,"n"
38,2014,5,"h"
38,2014,36,"l"
